flowID,dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
139.162.192.40 57615 149.102.157.168 5009 TCP,5009,0x0002,0x0014,0,0.000006422,1024,0,0,155344.592592593,0,60,0,54,0,0,0,0,0,0,0,0,0,8388608,TCP,0,0,1,1,2,60,54,0,6.43730163574219E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 5101 TCP,5101,0x0002,0x0014,0,0.000038321,1024,0,0,26214.4,0,60,0,54,0,0,0,0,0,0,0,0,0,1415577.6,TCP,0,0,1,1,2,60,54,0,3.814697265625E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1755 TCP,1755,0x0002,0x0014,0,0.000006543,1024,0,0,155344.592592593,0,60,0,54,0,0,0,0,0,0,0,0,0,8388608,TCP,0,0,1,1,2,60,54,0,6.43730163574219E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 5800 TCP,5800,0x0002,0x0014,0,0.000022592,1024,0,0,44150.5684210526,0,60,0,54,0,0,0,0,0,0,0,0,0,2384130.69473684,TCP,0,0,1,1,2,60,54,0,2.26497650146484E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 6001 TCP,6001,0x0002,0x0014,0,0.000005891,1024,0,0,167772.16,0,60,0,54,0,0,0,0,0,0,0,0,0,9059696.64,TCP,0,0,1,1,2,60,54,0,5.96046447753906E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 548 TCP,548,0x0002,0x0014,0,0.000013946,1024,0,0,71089.8983050847,0,60,0,54,0,0,0,0,0,0,0,0,0,3838854.50847458,TCP,0,0,1,1,2,60,54,0,1.40666961669922E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 389 TCP,389,0x0002,0x0014,0,0.000019206,1024,0,0,51781.5308641975,0,60,0,54,0,0,0,0,0,0,0,0,0,2796202.66666667,TCP,0,0,1,1,2,60,54,0,1.93119049072266E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1433 TCP,1433,0x0002,0x0014,0,0.000022402,1024,0,0,45100.0430107527,0,60,0,54,0,0,0,0,0,0,0,0,0,2435402.32258065,TCP,0,0,1,1,2,60,54,0,2.21729278564453E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 88 TCP,88,0x0002,0x0014,0,0.00000516,1024,0,0,190650.181818182,0,60,0,54,0,0,0,0,0,0,0,0,0,10295109.8181818,TCP,0,0,1,1,2,60,54,0,5.24520874023438E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 37 TCP,37,0x0002,0x0014,0,0.000012624,1024,0,0,79137.8113207547,0,60,0,54,0,0,0,0,0,0,0,0,0,4273441.81132075,TCP,0,0,1,1,2,60,54,0,1.26361846923828E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 2049 TCP,2049,0x0002,0x0014,0,0.000030617,1024,0,0,32768,0,60,0,54,0,0,0,0,0,0,0,0,0,1769472,TCP,0,0,1,1,2,60,54,0,0.000030517578125,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 3128 TCP,3128,0x0002,0x0014,0,0.000009789,1024,0,0,102300.097560976,0,60,0,54,0,0,0,0,0,0,0,0,0,5524205.26829268,TCP,0,0,1,1,2,60,54,0,9.77516174316406E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 444 TCP,444,0x0002,0x0014,0,0.000016642,1024,0,0,59918.6285714286,0,60,0,54,0,0,0,0,0,0,0,0,0,3235605.94285714,TCP,0,0,1,1,2,60,54,0,1.66893005371094E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 2717 TCP,2717,0x0002,0x0014,0,0.000012653,1024,0,0,79137.8113207547,0,60,0,54,0,0,0,0,0,0,0,0,0,4273441.81132075,TCP,0,0,1,1,2,60,54,0,1.26361846923828E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 513 TCP,513,0x0002,0x0014,0,0.000011572,1024,0,0,87381.3333333333,0,60,0,54,0,0,0,0,0,0,0,0,0,4718592,TCP,0,0,1,1,2,60,54,0,1.1444091796875E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1900 TCP,1900,0x0002,0x0014,0,0.000023975,1024,0,0,41527.7623762376,0,60,0,54,0,0,0,0,0,0,0,0,0,2242499.16831683,TCP,0,0,1,1,2,60,54,0,2.40802764892578E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 8009 TCP,8009,0x0002,0x0014,0,0.000002605,1024,0,0,419430.4,0,60,0,54,0,0,0,0,0,0,0,0,0,22649241.6,TCP,0,0,1,1,2,60,54,0,2.38418579101562E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 631 TCP,631,0x0002,0x0014,0,0.000004288,1024,0,0,233016.888888889,0,60,0,54,0,0,0,0,0,0,0,0,0,12582912,TCP,0,0,1,1,2,60,54,0,4.29153442382813E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 144 TCP,144,0x0002,0x0014,0,0.000019867,1024,0,0,49932.1904761905,0,60,0,54,0,0,0,0,0,0,0,0,0,2696338.28571429,TCP,0,0,1,1,2,60,54,0,2.00271606445312E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 81 TCP,81,0x0002,0x0014,0,0.000031329,1024,0,0,32017.5877862595,0,60,0,54,0,0,0,0,0,0,0,0,0,1728949.74045802,TCP,0,0,1,1,2,60,54,0,3.12328338623047E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 49157 TCP,49157,0x0002,0x0014,0,0.000006291,1024,0,0,161319.384615385,0,60,0,54,0,0,0,0,0,0,0,0,0,8711246.76923077,TCP,0,0,1,1,2,60,54,0,6.19888305664063E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 5631 TCP,5631,0x0002,0x0014,0,0.000009909,1024,0,0,102300.097560976,0,60,0,54,0,0,0,0,0,0,0,0,0,5524205.26829268,TCP,0,0,1,1,2,60,54,0,9.77516174316406E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 5051 TCP,5051,0x0002,0x0014,0,0.000019957,1024,0,0,49932.1904761905,0,60,0,54,0,0,0,0,0,0,0,0,0,2696338.28571429,TCP,0,0,1,1,2,60,54,0,2.00271606445312E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 514 TCP,514,0x0002,0x0014,0,0.000031779,1024,0,0,31300.776119403,0,60,0,54,0,0,0,0,0,0,0,0,0,1690241.91044776,TCP,0,0,1,1,2,60,54,0,3.19480895996094E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1027 TCP,1027,0x0002,0x0014,0,0.00004278,1024,0,0,23301.6888888889,0,60,0,54,0,0,0,0,0,0,0,0,0,1258291.2,TCP,0,0,1,1,2,60,54,0,4.29153442382813E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 646 TCP,646,0x0002,0x0014,0,0.000045505,1024,0,0,22075.2842105263,0,60,0,54,0,0,0,0,0,0,0,0,0,1192065.34736842,TCP,0,0,1,1,2,60,54,0,4.52995300292969E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 4899 TCP,4899,0x0002,0x0014,0,0.000005449,1024,0,0,182361.043478261,0,60,0,54,0,0,0,0,0,0,0,0,0,9847496.34782609,TCP,0,0,1,1,2,60,54,0,5.48362731933594E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
