dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
443,0x0010,0x0011,0.000098053,0.000000301,501,397,322.161722065403,108.410762749102,0,105,0,66,0.00041322275,0.003834781,4.84512714109357E-07,0.0000294064737408,0.000651113373265891,0.00542277362064839,368.25,0,26336.7207788467,7155.11034144072,TCP,63,0,4,2,6,327,132,0.0124161243438721,0.0184483528137207,81.75,13.856406460551,192,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0011,0.00010712,0.000000641,501,326,170.225679459949,58.1274720401347,0,112,0,66,0.000139904333333333,0.0084456035,2.01877642370667E-08,0.000142634783252812,0.000129704035651256,0.0119429805012322,550.333333333333,0,15604.020617162,3836.41315464889,TCP,77,0,3,2,5,275,132,0.0176236629486084,0.0344071388244629,91.6666666666667,21.920310216783,480.5,66,0,0,0,0,1,0,0,0,0,0,0,
35897,0x0012,0,0,0,64240,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,TCP,0,0,1,0,1,58,0,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
18323,0x0012,0,0,0,64240,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,TCP,0,0,1,0,1,58,0,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
443,0x0010,0x0018,0.058365525,0.000327059,131072,64128,29.4782710145722,53.4289226457756,0,668,0,298,0.018968326,0.00033294525,0.000505104935451292,1.3940481850425E-07,0.0213212204600525,0.000373369546835638,72288.8,13231.5833333333,5730.57588523284,7359.83409445559,TCP,678,323,5,4,9,972,551,0.169616460800171,0.0748658180236816,194.4,295.600518718534,87379.6666666667,137.75,112.345820275315,12621.5833333333,5.19752502441406E-05,1,2,0,0,0,0,0,0,
443,0x0010,0x0011,0.000072886,0.000000561,501,121,47.6656599721005,12.0649052913173,0,112,0,66,0.000141967,0.0411950975,4.0423744444E-08,0.00339397967489966,0.000188071200316529,0.0582578722139735,531.583333333333,0,4063.49751262156,796.283749226941,TCP,77,0,4,2,6,341,132,0.0839178562164307,0.165770053863525,85.25,17.8978583448784,320.333333333333,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0011,0.000016551,0.000046346,524,810,640.767520910515,207.541205868527,0,112,0,66,0.00018118775,0.002066691,9.35895690859286E-08,8.16358783805E-06,0.000286165813734254,0.00285719929967267,531.583333333333,0,54625.4311576214,13697.7195873228,TCP,77,0,4,2,6,341,132,0.00624251365661621,0.00963664054870606,85.25,17.8978583448784,320.333333333333,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0018,0.000029214,0.003317141,132736,42496,10.2630693553601,8.95355677014187,0,739,0,2962,0.000524431233333333,0.0031488358974359,1.83362882921767E-06,5.16766644715283E-05,0.00134278380565552,0.00718864830629016,18628.891954023,743366.418353576,1235.67355038535,14533.0001082126,TCP,1612,60721,30,39,69,3612,63303,2.92310214042664,4.35581088066101,120.4,138.364941885064,19144.8571428571,1623.15384615385,861.807694340386,742712.502024292,0.0171937942504883,1,21,0,0,0,0,0,0,
dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,
44449,0x0018,0x0010,0.000014317,0.00000005,3085,4112,0.599670413958577,0.58795122429222,0,2946,0,119,0.00115179629783394,0.00348341266312595,2.49062143966632E-05,5.20923569830075E-05,0.00498836003750874,0.00721750351458228,1666186.02762745,467.984474957451,1145.39213941229,41.429594918412,TCP,1028244,7844,554,659,1213,1058160,46436,923.840808391571,1120.84127521515,1910.03610108303,1289.66871720719,1663245.40014283,70.464339908953,19.1288191048557,365.911720346292,0,0,69,0,0,0,0,0,0,
443,0x0010,0x0018,0.042837748,0.002041755,501,136,40.5293753865182,182.202606429192,0,185,0,670,0,0.0032545905,0,2.9419399001205E-06,0,0.00171520841302755,0,182408,5086.43661100804,67050.5591659427,TCP,119,604,2,2,4,251,736,0.049346923828125,0.0109767913818359,125.5,0,0,368,427.092495836675,182408,0,0,1,0,0,0,0,0,0,
443,0,0,0,0,0,0,0,0,0,504,0,104,0,0,0,0,0,0,0,0,0,0,UDP,498,150,2,3,5,582,276,0,0,291,0,0,0,19.9248588451713,397,0,0,0,0,0,0,0,0,0,
443,0x0010,0x0018,0.000071894,0.009179256,499,8,216.19009329416,0,0,142,0,380,0,0,0,0,0,0,0,0,22483.7697025926,41397.24994156,TCP,76,314,2,1,3,208,380,0.00925111770629883,0.00917935371398926,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0018,0x0010,0.000603235,0.000344432,501,139,3315.65533596838,251.359122644054,0,200,0,66,0,0.00177367,0,4.085442521288E-06,0,0.002021247763459,0,0,499006.128063241,16589.7020945075,TCP,169,0,2,2,4,301,132,0.000603199005126953,0.00795674324035645,150.5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,
